RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818400079	 	3.0.1
USER	Users	1	START	1545818402810	1545818402810
USER	Users	2	START	1545818402917	1545818402917
REQUEST	2		Search	1545818402918	1545818402956	OK	 
REQUEST	1		Search	1545818402867	1545818402905	OK	 
USER	Users	3	START	1545818403022	1545818403022
USER	Users	4	START	1545818403116	1545818403116
USER	Users	5	START	1545818403217	1545818403217
REQUEST	3		Search	1545818403024	1545818403294	OK	 
REQUEST	5		Search	1545818403219	1545818403295	OK	 
REQUEST	4		Search	1545818403117	1545818403311	OK	 
USER	Users	6	START	1545818403317	1545818403317
REQUEST	3		Search	1545818403298	1545818403337	OK	 
REQUEST	4		Search	1545818403317	1545818403394	OK	 
USER	Users	7	START	1545818403416	1545818403416
REQUEST	3		Search	1545818403347	1545818403429	OK	 
REQUEST	6		Search	1545818403318	1545818403378	OK	 
REQUEST	3		Search	1545818403445	1545818403478	OK	 
REQUEST	7		Search	1545818403417	1545818403471	OK	 
REQUEST	1		Search	1545818403002	1545818403280	OK	 
USER	Users	8	START	1545818403517	1545818403517
REQUEST	3		Search	1545818403482	1545818403567	OK	 
REQUEST	2		Search	1545818403001	1545818403351	OK	 
REQUEST	4		Search	1545818403397	1545818403569	OK	 
REQUEST	7		Search	1545818403500	1545818403600	OK	 
USER	Users	9	START	1545818403616	1545818403616
REQUEST	4		Search	1545818403599	1545818403646	OK	 
REQUEST	7		Search	1545818403614	1545818403648	OK	 
REQUEST	1		Search	1545818403501	1545818403659	OK	 
REQUEST	4		Search	1545818403650	1545818403695	OK	 
USER	Users	10	START	1545818403715	1545818403715
REQUEST	6		Search	1545818403467	1545818403721	OK	 
REQUEST	7		Search	1545818403651	1545818403753	OK	 
REQUEST	1		Search	1545818403666	1545818403788	OK	 
REQUEST	3		Search	1545818403577	1545818403795	OK	 
USER	Users	11	START	1545818403816	1545818403816
REQUEST	5		Search	1545818403298	1545818403758	OK	 
REQUEST	2		Search	1545818403577	1545818403849	OK	 
REQUEST	6		Search	1545818403724	1545818403853	OK	 
REQUEST	8		Search	1545818403518	1545818403834	OK	 
REQUEST	9		Search	1545818403617	1545818403907	OK	 
USER	Users	12	START	1545818403917	1545818403917
REQUEST	10		Search	1545818403716	1545818403913	OK	 
REQUEST	7		Search	1545818403756	1545818403919	OK	 
REQUEST	2		Search	1545818403852	1545818403924	OK	 
REQUEST	8		Search	1545818403868	1545818403927	OK	 
USER	Users	13	START	1545818404017	1545818404017
