RUN	SolrQueryTraffic	solrquerytraffic	1545814412295	 	3.0.1
USER	Users	44	END	1545814479518	1545814480383
USER	Users	46	START	1545814480503	1545814480503
USER	Users	47	START	1545814481515	1545814481515
USER	Users	48	START	1545814482014	1545814482014
REQUEST	47		Search	1545814481517	1545814482177	OK	 
USER	Users	49	START	1545814482513	1545814482513
REQUEST	49		Search	1545814482524	1545814482742	OK	 
REQUEST	47		Search	1545814482193	1545814482525	OK	 
USER	Users	47	END	1545814481515	1545814482871
USER	Users	50	START	1545814483013	1545814483013
USER	Users	51	START	1545814488962	1545814488962
USER	Users	52	START	1545814488968	1545814488968
USER	Users	53	START	1545814488971	1545814488971
USER	Users	54	START	1545814488971	1545814488971
USER	Users	55	START	1545814488972	1545814488972
USER	Users	56	START	1545814488972	1545814488972
USER	Users	57	START	1545814488972	1545814488972
USER	Users	58	START	1545814488973	1545814488973
USER	Users	59	START	1545814488973	1545814488973
REQUEST	49		Search	1545814482767	1545814488962	OK	 
USER	Users	49	END	1545814482513	1545814488980
USER	Users	60	START	1545814489013	1545814489013
USER	Users	61	START	1545814489514	1545814489514
REQUEST	14		Search	1545814467973	1545814480600	OK	 
USER	Users	14	END	1545814458090	1545814489824
REQUEST	46		Search	1545814480506	1545814489824	OK	 
USER	Users	62	START	1545814490514	1545814490514
USER	Users	63	START	1545814491013	1545814491013
USER	Users	64	START	1545814491526	1545814491526
USER	Users	65	START	1545814492086	1545814492086
USER	Users	66	START	1545814492503	1545814492503
USER	Users	67	START	1545814493013	1545814493013
REQUEST	48		Search	1545814482016	1545814491429	OK	 
REQUEST	59		Search	1545814488978	1545814493347	OK	 
USER	Users	68	START	1545814493513	1545814493513
REQUEST	51		Search	1545814488975	1545814493597	OK	 
USER	Users	69	START	1545814494014	1545814494014
REQUEST	52		Search	1545814488975	1545814494216	OK	 
REQUEST	59		Search	1545814493357	1545814494379	OK	 
USER	Users	59	END	1545814488973	1545814494400
USER	Users	70	START	1545814494513	1545814494513
REQUEST	68		Search	1545814493519	1545814495013	OK	 
REQUEST	48		Search	1545814493308	1545814495327	OK	 
REQUEST	53		Search	1545814488976	1545814494619	OK	 
USER	Users	48	END	1545814482014	1545814495383
USER	Users	71	START	1545814495515	1545814495515
REQUEST	24		Search	1545814465514	1545814477418	OK	 
USER	Users	72	START	1545814496004	1545814496004
USER	Users	73	START	1545814496503	1545814496503
REQUEST	35		Search	1545814475679	1545814493948	OK	 
USER	Users	35	END	1545814473513	1545814496638
REQUEST	67		Search	1545814493017	1545814496638	OK	 
USER	Users	74	START	1545814497013	1545814497013
USER	Users	75	START	1545814497518	1545814497518
USER	Users	76	START	1545814498003	1545814498003
REQUEST	55		Search	1545814488976	1545814496859	OK	 
USER	Users	77	START	1545814498503	1545814498503
REQUEST	64		Search	1545814491527	1545814498653	OK	 
USER	Users	78	START	1545814499014	1545814499014
USER	Users	79	START	1545814499514	1545814499514
REQUEST	73		Search	1545814496504	1545814499755	OK	 
USER	Users	80	START	1545814500014	1545814500014
REQUEST	52		Search	1545814494322	1545814499156	OK	 
USER	Users	52	END	1545814488968	1545814500236
USER	Users	81	START	1545814500513	1545814500513
