RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545815685404	 	3.0.1
USER	Users	1	START	1545815688140	1545815688140
USER	Users	2	START	1545815689162	1545815689162
REQUEST	1		Search	1545815688197	1545815689419	OK	 
REQUEST	2		Search	1545815689163	1545815689898	OK	 
USER	Users	3	START	1545815690161	1545815690161
REQUEST	2		Search	1545815689904	1545815690799	OK	 
USER	Users	2	END	1545815689162	1545815690899
USER	Users	4	START	1545815691142	1545815691142
USER	Users	5	START	1545815692143	1545815692143
USER	Users	6	START	1545815693142	1545815693142
USER	Users	7	START	1545815694141	1545815694141
USER	Users	8	START	1545815695142	1545815695142
REQUEST	1		Search	1545815689515	1545815695689	OK	 
USER	Users	1	END	1545815688140	1545815695726
REQUEST	6		Search	1545815693143	1545815695812	OK	 
REQUEST	3		Search	1545815690163	1545815695916	OK	 
REQUEST	6		Search	1545815695816	1545815696135	OK	 
USER	Users	6	END	1545815693142	1545815696140
USER	Users	9	START	1545815696142	1545815696142
REQUEST	7		Search	1545815694143	1545815696215	OK	 
REQUEST	5		Search	1545815692144	1545815696469	OK	 
REQUEST	8		Search	1545815695144	1545815696472	OK	 
REQUEST	4		Search	1545815691143	1545815696501	OK	 
REQUEST	5		Search	1545815696472	1545815696749	OK	 
USER	Users	5	END	1545815692143	1545815696751
REQUEST	8		Search	1545815696474	1545815696803	OK	 
USER	Users	8	END	1545815695142	1545815696805
USER	Users	10	START	1545815697144	1545815697144
USER	Users	11	START	1545815698143	1545815698143
REQUEST	11		Search	1545815698144	1545815698318	OK	 
REQUEST	11		Search	1545815698323	1545815698525	OK	 
USER	Users	11	END	1545815698143	1545815698543
USER	Users	12	START	1545815698641	1545815698641
USER	Users	13	START	1545815699141	1545815699141
REQUEST	13		Search	1545815699142	1545815699273	OK	 
REQUEST	4		Search	1545815696506	1545815699579	OK	 
USER	Users	4	END	1545815691142	1545815699590
REQUEST	13		Search	1545815699275	1545815699594	OK	 
USER	Users	13	END	1545815699141	1545815699599
REQUEST	3		Search	1545815695919	1545815699602	OK	 
USER	Users	3	END	1545815690161	1545815699606
REQUEST	7		Search	1545815696255	1545815699622	OK	 
USER	Users	7	END	1545815694141	1545815699638
REQUEST	12		Search	1545815698642	1545815699619	OK	 
REQUEST	9		Search	1545815696143	1545815699713	OK	 
REQUEST	10		Search	1545815697145	1545815699717	OK	 
REQUEST	12		Search	1545815699641	1545815699946	OK	 
USER	Users	12	END	1545815698641	1545815699949
REQUEST	9		Search	1545815699726	1545815699969	OK	 
USER	Users	9	END	1545815696142	1545815699970
REQUEST	10		Search	1545815699733	1545815700015	OK	 
USER	Users	10	END	1545815697144	1545815700019
USER	Users	14	START	1545815700142	1545815700142
REQUEST	14		Search	1545815700143	1545815700231	OK	 
REQUEST	14		Search	1545815700233	1545815700380	OK	 
USER	Users	14	END	1545815700142	1545815700384
USER	Users	15	START	1545815701143	1545815701143
REQUEST	15		Search	1545815701144	1545815701306	OK	 
REQUEST	15		Search	1545815701308	1545815701457	OK	 
USER	Users	15	END	1545815701143	1545815701462
USER	Users	16	START	1545815702143	1545815702143
REQUEST	16		Search	1545815702145	1545815702275	OK	 
REQUEST	16		Search	1545815702278	1545815702381	OK	 
USER	Users	16	END	1545815702143	1545815702385
USER	Users	17	START	1545815703143	1545815703143
USER	Users	18	START	1545815703642	1545815703642
REQUEST	17		Search	1545815703145	1545815704058	OK	 
USER	Users	19	START	1545815704142	1545815704142
REQUEST	18		Search	1545815703644	1545815704153	OK	 
REQUEST	17		Search	1545815704062	1545815704293	OK	 
USER	Users	17	END	1545815703143	1545815704299
REQUEST	18		Search	1545815704155	1545815704339	OK	 
USER	Users	18	END	1545815703642	1545815704340
REQUEST	19		Search	1545815704143	1545815704384	OK	 
REQUEST	19		Search	1545815704386	1545815704502	OK	 
USER	Users	19	END	1545815704142	1545815704504
USER	Users	20	START	1545815705141	1545815705141
REQUEST	20		Search	1545815705142	1545815705319	OK	 
REQUEST	20		Search	1545815705323	1545815705402	OK	 
USER	Users	20	END	1545815705141	1545815705403
USER	Users	21	START	1545815706141	1545815706141
REQUEST	21		Search	1545815706143	1545815706219	OK	 
REQUEST	21		Search	1545815706223	1545815706304	OK	 
USER	Users	21	END	1545815706141	1545815706310
USER	Users	22	START	1545815706642	1545815706642
REQUEST	22		Search	1545815706643	1545815706821	OK	 
REQUEST	22		Search	1545815706864	1545815706923	OK	 
USER	Users	22	END	1545815706642	1545815706925
USER	Users	23	START	1545815707144	1545815707144
REQUEST	23		Search	1545815707145	1545815707188	OK	 
REQUEST	23		Search	1545815707190	1545815707259	OK	 
USER	Users	23	END	1545815707144	1545815707261
USER	Users	24	START	1545815708141	1545815708141
REQUEST	24		Search	1545815708142	1545815708205	OK	 
REQUEST	24		Search	1545815708207	1545815708305	OK	 
USER	Users	24	END	1545815708141	1545815708319
USER	Users	25	START	1545815709142	1545815709142
REQUEST	25		Search	1545815709143	1545815709196	OK	 
REQUEST	25		Search	1545815709200	1545815709292	OK	 
USER	Users	25	END	1545815709142	1545815709295
USER	Users	26	START	1545815709641	1545815709641
REQUEST	26		Search	1545815709642	1545815709687	OK	 
REQUEST	26		Search	1545815709688	1545815709735	OK	 
USER	Users	26	END	1545815709641	1545815709737
USER	Users	27	START	1545815710143	1545815710143
REQUEST	27		Search	1545815710145	1545815710227	OK	 
REQUEST	27		Search	1545815710232	1545815710279	OK	 
USER	Users	27	END	1545815710143	1545815710282
USER	Users	28	START	1545815711141	1545815711141
