RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818682644	 	3.0.1
USER	Users	1	START	1545818685367	1545818685367
USER	Users	2	START	1545818685523	1545818685523
USER	Users	3	START	1545818685663	1545818685663
USER	Users	4	START	1545818685802	1545818685802
USER	Users	5	START	1545818685952	1545818685952
USER	Users	6	START	1545818686102	1545818686102
USER	Users	7	START	1545818686242	1545818686242
USER	Users	8	START	1545818686393	1545818686393
USER	Users	9	START	1545818686533	1545818686533
USER	Users	10	START	1545818686673	1545818686673
USER	Users	11	START	1545818686812	1545818686812
USER	Users	12	START	1545818686962	1545818686962
USER	Users	13	START	1545818687103	1545818687103
USER	Users	14	START	1545818687242	1545818687242
USER	Users	15	START	1545818687393	1545818687393
USER	Users	16	START	1545818687513	1545818687513
USER	Users	17	START	1545818687652	1545818687652
USER	Users	18	START	1545818687803	1545818687803
USER	Users	19	START	1545818687943	1545818687943
USER	Users	20	START	1545818688083	1545818688083
USER	Users	21	START	1545818688232	1545818688232
USER	Users	22	START	1545818688373	1545818688373
USER	Users	23	START	1545818688512	1545818688512
USER	Users	24	START	1545818688652	1545818688652
USER	Users	25	START	1545818688792	1545818688792
USER	Users	26	START	1545818688942	1545818688942
USER	Users	27	START	1545818689082	1545818689082
USER	Users	28	START	1545818689222	1545818689222
USER	Users	29	START	1545818689372	1545818689372
REQUEST	2		Search	1545818685524	1545818689373	OK	 
USER	Users	30	START	1545818689513	1545818689513
REQUEST	24		Search	1545818688654	1545818689603	OK	 
REQUEST	7		Search	1545818686243	1545818689624	OK	 
REQUEST	16		Search	1545818687514	1545818689649	OK	 
USER	Users	31	START	1545818689653	1545818689653
REQUEST	8		Search	1545818686394	1545818689658	OK	 
USER	Users	32	START	1545818689793	1545818689793
REQUEST	4		Search	1545818685803	1545818689679	OK	 
REQUEST	1		Search	1545818685425	1545818689828	OK	 
REQUEST	30		Search	1545818689514	1545818689828	OK	 
REQUEST	2		Search	1545818689508	1545818689857	OK	 
REQUEST	14		Search	1545818687243	1545818689857	OK	 
USER	Users	33	START	1545818689942	1545818689942
REQUEST	31		Search	1545818689654	1545818689968	OK	 
REQUEST	12		Search	1545818686963	1545818690068	OK	 
USER	Users	34	START	1545818690083	1545818690083
REQUEST	13		Search	1545818687104	1545818690150	OK	 
REQUEST	16		Search	1545818689652	1545818690175	OK	 
REQUEST	29		Search	1545818689373	1545818690177	OK	 
REQUEST	22		Search	1545818688374	1545818690199	OK	 
REQUEST	15		Search	1545818687394	1545818690220	OK	 
USER	Users	35	START	1545818690222	1545818690222
REQUEST	6		Search	1545818686103	1545818690226	OK	 
REQUEST	11		Search	1545818686814	1545818690236	OK	 
REQUEST	32		Search	1545818689795	1545818690266	OK	 
REQUEST	5		Search	1545818685953	1545818690293	OK	 
REQUEST	30		Search	1545818689857	1545818690299	OK	 
REQUEST	1		Search	1545818689857	1545818690306	OK	 
REQUEST	4		Search	1545818689814	1545818690307	OK	 
REQUEST	25		Search	1545818688793	1545818690311	OK	 
REQUEST	10		Search	1545818686674	1545818690342	OK	 
REQUEST	8		Search	1545818689662	1545818690349	OK	 
REQUEST	23		Search	1545818688513	1545818690356	OK	 
USER	Users	36	START	1545818690373	1545818690373
REQUEST	27		Search	1545818689083	1545818690446	OK	 
REQUEST	19		Search	1545818687944	1545818690451	OK	 
REQUEST	7		Search	1545818689627	1545818690469	OK	 
REQUEST	28		Search	1545818689223	1545818690476	OK	 
USER	Users	37	START	1545818690513	1545818690513
REQUEST	31		Search	1545818689988	1545818690638	OK	 
USER	Users	38	START	1545818690652	1545818690652
REQUEST	35		Search	1545818690223	1545818690674	OK	 
REQUEST	4		Search	1545818690309	1545818690685	OK	 
REQUEST	12		Search	1545818690071	1545818690690	OK	 
REQUEST	28		Search	1545818690482	1545818690700	OK	 
REQUEST	30		Search	1545818690303	1545818690709	OK	 
REQUEST	32		Search	1545818690268	1545818690731	OK	 
REQUEST	25		Search	1545818690313	1545818690783	OK	 
USER	Users	39	START	1545818690803	1545818690803
REQUEST	24		Search	1545818689605	1545818690807	OK	 
REQUEST	2		Search	1545818689870	1545818690811	OK	 
REQUEST	17		Search	1545818687654	1545818690839	OK	 
REQUEST	34		Search	1545818690084	1545818690845	OK	 
USER	Users	40	START	1545818690950	1545818690950
USER	Users	41	START	1545818691083	1545818691083
REQUEST	26		Search	1545818688943	1545818691092	OK	 
REQUEST	11		Search	1545818690242	1545818691158	OK	 
REQUEST	8		Search	1545818690352	1545818691171	OK	 
REQUEST	12		Search	1545818690692	1545818691198	OK	 
USER	Users	42	START	1545818691222	1545818691222
REQUEST	35		Search	1545818690677	1545818691273	OK	 
REQUEST	23		Search	1545818690359	1545818691274	OK	 
REQUEST	12		Search	1545818691200	1545818691283	OK	 
REQUEST	13		Search	1545818690164	1545818691327	OK	 
REQUEST	15		Search	1545818690223	1545818691331	OK	 
REQUEST	34		Search	1545818690849	1545818691359	OK	 
USER	Users	43	START	1545818691372	1545818691372
REQUEST	36		Search	1545818690374	1545818691473	OK	 
USER	Users	44	START	1545818691563	1545818691563
REQUEST	30		Search	1545818690712	1545818691563	OK	 
REQUEST	22		Search	1545818690201	1545818691563	OK	 
REQUEST	31		Search	1545818690641	1545818691563	OK	 
REQUEST	27		Search	1545818690449	1545818691599	OK	 
REQUEST	2		Search	1545818690817	1545818691572	OK	 
REQUEST	21		Search	1545818688233	1545818691564	OK	 
REQUEST	4		Search	1545818690687	1545818691621	OK	 
REQUEST	32		Search	1545818690734	1545818691624	OK	 
REQUEST	39		Search	1545818690804	1545818691626	OK	 
REQUEST	28		Search	1545818690703	1545818691638	OK	 
USER	Users	45	START	1545818691654	1545818691654
REQUEST	19		Search	1545818690457	1545818691679	OK	 
REQUEST	24		Search	1545818690813	1545818691686	OK	 
REQUEST	14		Search	1545818689872	1545818691683	OK	 
REQUEST	10		Search	1545818690345	1545818691687	OK	 
REQUEST	38		Search	1545818690653	1545818691719	OK	 
REQUEST	25		Search	1545818690786	1545818691738	OK	 
REQUEST	26		Search	1545818691099	1545818691745	OK	 
REQUEST	40		Search	1545818690951	1545818691768	OK	 
REQUEST	5		Search	1545818690295	1545818691773	OK	 
USER	Users	46	START	1545818691794	1545818691794
REQUEST	35		Search	1545818691276	1545818691823	OK	 
REQUEST	6		Search	1545818690229	1545818691901	OK	 
REQUEST	41		Search	1545818691084	1545818691914	OK	 
USER	Users	47	START	1545818691943	1545818691943
REQUEST	18		Search	1545818687804	1545818691927	OK	 
REQUEST	7		Search	1545818690472	1545818691991	OK	 
REQUEST	12		Search	1545818691285	1545818692026	OK	 
REQUEST	34		Search	1545818691362	1545818691950	OK	 
USER	Users	12	END	1545818686962	1545818692055
USER	Users	48	START	1545818692085	1545818692085
REQUEST	46		Search	1545818691835	1545818692167	OK	 
USER	Users	49	START	1545818692222	1545818692222
REQUEST	21		Search	1545818691826	1545818692337	OK	 
REQUEST	29		Search	1545818690180	1545818692358	OK	 
USER	Users	50	START	1545818692374	1545818692374
REQUEST	17		Search	1545818690845	1545818692350	OK	 
REQUEST	15		Search	1545818691333	1545818692375	OK	 
REQUEST	13		Search	1545818691329	1545818692467	OK	 
REQUEST	23		Search	1545818691277	1545818692429	OK	 
REQUEST	20		Search	1545818688084	1545818692379	OK	 
USER	Users	51	START	1545818692514	1545818692514
REQUEST	40		Search	1545818691832	1545818692603	OK	 
USER	Users	52	START	1545818692652	1545818692652
REQUEST	42		Search	1545818691223	1545818692684	OK	 
REQUEST	3		Search	1545818685664	1545818692667	OK	 
REQUEST	1		Search	1545818690308	1545818692699	OK	 
REQUEST	38		Search	1545818691830	1545818692715	OK	 
REQUEST	45		Search	1545818691828	1545818692758	OK	 
REQUEST	14		Search	1545818691829	1545818692780	OK	 
REQUEST	39		Search	1545818691827	1545818692794	OK	 
REQUEST	25		Search	1545818691831	1545818692798	OK	 
USER	Users	53	START	1545818692802	1545818692802
REQUEST	27		Search	1545818691825	1545818692807	OK	 
REQUEST	35		Search	1545818691838	1545818692824	OK	 
REQUEST	47		Search	1545818691944	1545818692924	OK	 
USER	Users	54	START	1545818692942	1545818692942
REQUEST	11		Search	1545818691161	1545818692942	OK	 
USER	Users	55	START	1545818693094	1545818693094
REQUEST	8		Search	1545818691175	1545818693082	OK	 
REQUEST	18		Search	1545818691950	1545818693113	OK	 
REQUEST	2		Search	1545818691825	1545818693122	OK	 
USER	Users	2	END	1545818685523	1545818693125
REQUEST	37		Search	1545818690514	1545818693126	OK	 
REQUEST	22		Search	1545818691824	1545818693148	OK	 
REQUEST	26		Search	1545818691831	1545818693164	OK	 
REQUEST	32		Search	1545818691827	1545818693159	OK	 
REQUEST	4		Search	1545818691826	1545818693183	OK	 
USER	Users	4	END	1545818685802	1545818693188
REQUEST	7		Search	1545818691999	1545818693187	OK	 
REQUEST	51		Search	1545818692515	1545818693217	OK	 
REQUEST	15		Search	1545818692412	1545818693219	OK	 
USER	Users	56	START	1545818693232	1545818693232
REQUEST	14		Search	1545818692786	1545818693322	OK	 
REQUEST	13		Search	1545818692469	1545818693343	OK	 
REQUEST	24		Search	1545818691829	1545818693366	OK	 
USER	Users	57	START	1545818693373	1545818693373
REQUEST	5		Search	1545818691832	1545818693304	OK	 
REQUEST	38		Search	1545818692717	1545818693445	OK	 
USER	Users	58	START	1545818693515	1545818693515
REQUEST	36		Search	1545818691823	1545818693629	OK	 
REQUEST	21		Search	1545818692339	1545818693642	OK	 
USER	Users	59	START	1545818693653	1545818693653
REQUEST	42		Search	1545818692686	1545818693718	OK	 
REQUEST	52		Search	1545818692653	1545818693731	OK	 
REQUEST	37		Search	1545818693136	1545818693753	OK	 
REQUEST	31		Search	1545818691825	1545818693787	OK	 
USER	Users	60	START	1545818693803	1545818693803
REQUEST	8		Search	1545818693110	1545818693803	OK	 
USER	Users	8	END	1545818686393	1545818693804
USER	Users	61	START	1545818694060	1545818694060
REQUEST	54		Search	1545818692943	1545818694060	OK	 
REQUEST	35		Search	1545818692829	1545818694060	OK	 
REQUEST	17		Search	1545818692412	1545818694060	OK	 
REQUEST	39		Search	1545818692796	1545818694061	OK	 
USER	Users	35	END	1545818690222	1545818694062
REQUEST	57		Search	1545818693374	1545818694060	OK	 
REQUEST	18		Search	1545818693122	1545818694060	OK	 
REQUEST	19		Search	1545818691828	1545818694062	OK	 
REQUEST	40		Search	1545818692606	1545818694059	OK	 
REQUEST	24		Search	1545818693370	1545818694063	OK	 
USER	Users	24	END	1545818688652	1545818694064
REQUEST	16		Search	1545818690179	1545818693864	OK	 
REQUEST	30		Search	1545818691824	1545818693890	OK	 
USER	Users	30	END	1545818689513	1545818694069
USER	Users	62	START	1545818694083	1545818694083
