RUN	SolrQueryTraffic	solrquerytraffic	1545769019568	 	3.0.1
USER	Users	1	START	1545769052381	1545769052381
REQUEST	1		Search	1545769052446	1545769052596	OK	 
USER	Users	2	START	1545769052906	1545769052906
REQUEST	2		Search	1545769052907	1545769053058	OK	 
REQUEST	2		Search	1545769053067	1545769053324	OK	 
USER	Users	2	END	1545769052906	1545769053351
USER	Users	3	START	1545769053405	1545769053405
USER	Users	4	START	1545769053904	1545769053904
REQUEST	4		Search	1545769053906	1545769054084	OK	 
USER	Users	5	START	1545769054405	1545769054405
REQUEST	4		Search	1545769054093	1545769054775	OK	 
USER	Users	4	END	1545769053904	1545769054832
USER	Users	6	START	1545769054885	1545769054885
USER	Users	7	START	1545769055385	1545769055385
REQUEST	5		Search	1545769054406	1545769055512	OK	 
USER	Users	8	START	1545769055885	1545769055885
USER	Users	9	START	1545769056385	1545769056385
REQUEST	5		Search	1545769055694	1545769056427	OK	 
USER	Users	5	END	1545769054405	1545769056437
USER	Users	10	START	1545769056885	1545769056885
USER	Users	11	START	1545769057385	1545769057385
REQUEST	7		Search	1545769055386	1545769057411	OK	 
USER	Users	12	START	1545769057885	1545769057885
REQUEST	12		Search	1545769057886	1545769058297	OK	 
USER	Users	13	START	1545769058386	1545769058386
REQUEST	7		Search	1545769057805	1545769058306	OK	 
USER	Users	7	END	1545769055385	1545769058408
REQUEST	13		Search	1545769058387	1545769058638	OK	 
USER	Users	14	START	1545769058886	1545769058886
REQUEST	14		Search	1545769058887	1545769059012	OK	 
REQUEST	14		Search	1545769059026	1545769059110	OK	 
USER	Users	14	END	1545769058886	1545769059115
USER	Users	15	START	1545769059554	1545769059554
REQUEST	15		Search	1545769059555	1545769059646	OK	 
REQUEST	12		Search	1545769058303	1545769059261	OK	 
USER	Users	12	END	1545769057885	1545769059706
USER	Users	16	START	1545769059875	1545769059875
REQUEST	10		Search	1545769056886	1545769059261	OK	 
REQUEST	16		Search	1545769059876	1545769060179	OK	 
REQUEST	10		Search	1545769060004	1545769060311	OK	 
USER	Users	10	END	1545769056885	1545769060351
USER	Users	17	START	1545769060375	1545769060375
USER	Users	18	START	1545769060886	1545769060886
USER	Users	19	START	1545769061385	1545769061385
USER	Users	20	START	1545769061886	1545769061886
REQUEST	19		Search	1545769061386	1545769062251	OK	 
USER	Users	21	START	1545769062386	1545769062386
USER	Users	22	START	1545769062886	1545769062886
USER	Users	23	START	1545769063385	1545769063385
REQUEST	19		Search	1545769062258	1545769063435	OK	 
USER	Users	19	END	1545769061385	1545769063529
REQUEST	22		Search	1545769062887	1545769063829	OK	 
USER	Users	24	START	1545769063885	1545769063885
REQUEST	24		Search	1545769063887	1545769063966	OK	 
USER	Users	25	START	1545769064384	1545769064384
REQUEST	24		Search	1545769063970	1545769064403	OK	 
USER	Users	24	END	1545769063885	1545769064409
REQUEST	25		Search	1545769064389	1545769064803	OK	 
USER	Users	26	START	1545769064885	1545769064885
USER	Users	27	START	1545769065385	1545769065385
USER	Users	28	START	1545769065885	1545769065885
USER	Users	29	START	1545769066384	1545769066384
REQUEST	26		Search	1545769064887	1545769066423	OK	 
USER	Users	30	START	1545769066885	1545769066885
REQUEST	29		Search	1545769066386	1545769067341	OK	 
USER	Users	31	START	1545769067385	1545769067385
USER	Users	32	START	1545769068307	1545769068307
REQUEST	1		Search	1545769052736	1545769064487	OK	 
USER	Users	1	END	1545769052381	1545769068321
USER	Users	33	START	1545769068384	1545769068384
