RUN	SolrQueryTraffic	solrquerytraffic	1545814722929	 	3.0.1
USER	Users	1	START	1545814756979	1545814756979
REQUEST	1		Search	1545814757034	1545814757284	OK	 
USER	Users	2	START	1545814757994	1545814757994
REQUEST	2		Search	1545814757995	1545814758082	OK	 
REQUEST	2		Search	1545814758092	1545814758304	OK	 
USER	Users	2	END	1545814757994	1545814758341
REQUEST	1		Search	1545814757415	1545814758104	OK	 
USER	Users	1	END	1545814756979	1545814758370
USER	Users	3	START	1545814758994	1545814758994
REQUEST	3		Search	1545814758995	1545814759192	OK	 
REQUEST	3		Search	1545814759205	1545814759297	OK	 
USER	Users	3	END	1545814758994	1545814759345
USER	Users	4	START	1545814759985	1545814759985
REQUEST	4		Search	1545814759987	1545814760073	OK	 
REQUEST	4		Search	1545814760079	1545814760131	OK	 
USER	Users	4	END	1545814759985	1545814760136
USER	Users	5	START	1545814760984	1545814760984
REQUEST	5		Search	1545814760985	1545814761600	OK	 
USER	Users	6	START	1545814761982	1545814761982
REQUEST	5		Search	1545814761945	1545814762041	OK	 
USER	Users	5	END	1545814760984	1545814762045
USER	Users	7	START	1545814762983	1545814762983
REQUEST	7		Search	1545814762984	1545814763046	OK	 
REQUEST	7		Search	1545814763048	1545814763103	OK	 
USER	Users	7	END	1545814762983	1545814763106
USER	Users	8	START	1545814763984	1545814763984
REQUEST	8		Search	1545814763985	1545814764112	OK	 
REQUEST	8		Search	1545814764115	1545814764216	OK	 
USER	Users	8	END	1545814763984	1545814764221
USER	Users	9	START	1545814764983	1545814764983
REQUEST	9		Search	1545814764985	1545814765609	OK	 
USER	Users	10	START	1545814765982	1545814765982
USER	Users	11	START	1545814766984	1545814766984
REQUEST	11		Search	1545814766984	1545814767379	OK	 
REQUEST	11		Search	1545814767391	1545814767464	OK	 
USER	Users	11	END	1545814766984	1545814767467
USER	Users	12	START	1545814767483	1545814767483
USER	Users	13	START	1545814767983	1545814767983
REQUEST	10		Search	1545814765984	1545814767789	OK	 
USER	Users	14	START	1545814768984	1545814768984
REQUEST	14		Search	1545814768986	1545814769047	OK	 
REQUEST	14		Search	1545814769052	1545814769172	OK	 
USER	Users	14	END	1545814768984	1545814769178
REQUEST	9		Search	1545814765681	1545814768358	OK	 
USER	Users	9	END	1545814764983	1545814769191
USER	Users	15	START	1545814769982	1545814769982
REQUEST	15		Search	1545814769983	1545814770483	OK	 
REQUEST	15		Search	1545814770486	1545814770570	OK	 
USER	Users	15	END	1545814769982	1545814770599
USER	Users	16	START	1545814770982	1545814770982
REQUEST	16		Search	1545814770983	1545814771890	OK	 
REQUEST	16		Search	1545814771892	1545814771928	OK	 
USER	Users	16	END	1545814770982	1545814771932
USER	Users	17	START	1545814771982	1545814771982
REQUEST	17		Search	1545814771983	1545814772052	OK	 
REQUEST	17		Search	1545814772054	1545814772112	OK	 
USER	Users	17	END	1545814771982	1545814772116
USER	Users	18	START	1545814772483	1545814772483
USER	Users	19	START	1545814773320	1545814773320
REQUEST	19		Search	1545814773321	1545814773385	OK	 
REQUEST	19		Search	1545814773388	1545814773450	OK	 
USER	Users	19	END	1545814773320	1545814773452
REQUEST	13		Search	1545814767984	1545814773493	OK	 
USER	Users	20	START	1545814774028	1545814774028
REQUEST	18		Search	1545814772483	1545814773686	OK	 
REQUEST	18		Search	1545814774328	1545814774495	OK	 
USER	Users	18	END	1545814772483	1545814774499
REQUEST	20		Search	1545814774029	1545814774499	OK	 
REQUEST	20		Search	1545814774503	1545814774563	OK	 
USER	Users	20	END	1545814774028	1545814774566
REQUEST	13		Search	1545814773755	1545814774643	OK	 
USER	Users	13	END	1545814767983	1545814774698
USER	Users	21	START	1545814775905	1545814775905
USER	Users	22	START	1545814775905	1545814775905
USER	Users	23	START	1545814775982	1545814775982
REQUEST	12		Search	1545814767484	1545814772549	OK	 
REQUEST	23		Search	1545814775983	1545814776101	OK	 
REQUEST	12		Search	1545814776037	1545814776163	OK	 
USER	Users	12	END	1545814767483	1545814776167
REQUEST	23		Search	1545814776105	1545814776241	OK	 
USER	Users	23	END	1545814775982	1545814776244
REQUEST	21		Search	1545814775906	1545814776798	OK	 
USER	Users	24	START	1545814776982	1545814776982
REQUEST	6		Search	1545814761983	1545814770683	OK	 
USER	Users	26	START	1545814779104	1545814779104
USER	Users	25	START	1545814779103	1545814779103
USER	Users	27	START	1545814779104	1545814779104
REQUEST	27		Search	1545814779105	1545814779464	OK	 
USER	Users	28	START	1545814779982	1545814779982
REQUEST	28		Search	1545814779983	1545814780140	OK	 
REQUEST	27		Search	1545814779467	1545814780190	OK	 
USER	Users	27	END	1545814779104	1545814780238
REQUEST	22		Search	1545814775906	1545814779660	OK	 
REQUEST	22		Search	1545814780403	1545814780543	OK	 
USER	Users	22	END	1545814775905	1545814780555
REQUEST	10		Search	1545814768731	1545814774735	OK	 
USER	Users	10	END	1545814765982	1545814780860
